"head_z","head_y","l_shoulder_y","l_shoulder_z","l_arm_x","l_elbow_y","r_shoulder_y","r_shoulder_z","r_arm_x","r_elbow_y","r_wrist_z","r_wrist_x","r_indexfingers_x","r_thumb_x","r_virtualhand_x","l_wrist_z","l_wrist_x","l_indexfingers_x","l_thumb_x","l_virtualhand_x"
"-2.24","-6.73","-34.86","-7.6","4.7","55.43","-5.23","-6.02","-24.22","-3.38","-173.32","-14.81","-84.79","-124.0","-104.4","-34.86","130.42","-47.87","-125.23","-86.55"
"-2.24","-6.73","-34.86","-7.69","4.7","55.43","-4.53","-6.81","-32.04","-4.09","-173.32","-14.37","-84.88","-124.0","-104.48","-35.03","129.98","-47.25","-125.49","-86.37"
"-2.24","-6.73","-35.03","-7.69","4.53","55.43","54.29","-38.99","-49.54","-8.66","-173.32","-14.37","-84.62","-123.91","-104.31","-35.12","130.42","-47.34","-125.32","-86.37"
"-2.24","-6.73","-35.12","-7.69","4.53","55.52","61.14","-38.9","-49.8","-13.76","-173.32","-14.37","-84.79","-123.74","-104.31","-35.12","129.98","-47.52","-125.32","-86.46"
"-2.24","-6.73","-35.21","-7.69","4.53","55.52","71.69","-37.14","-50.51","-13.76","-173.32","-14.37","-84.79","-123.91","-104.4","-35.03","130.77","-47.34","-125.49","-86.46"
"-2.24","-6.73","-35.38","-7.69","4.44","55.43","88.92","-32.04","-49.27","-12.97","-173.32","-14.37","-84.88","-124.0","-104.48","-35.12","130.42","-47.25","-125.23","-86.29"
"-2.24","-6.73","-35.38","-7.69","4.53","55.43","95.43","-22.29","-49.27","-13.93","-173.32","-14.37","-84.79","-123.91","-104.4","-35.12","130.42","-47.08","-125.49","-86.29"
"-2.24","-6.73","-35.38","-7.69","4.53","55.43","100.09","-11.74","-49.27","-18.59","-173.14","-14.37","-84.62","-124.0","-104.31","-35.03","130.42","-47.34","-125.32","-86.37"
"-2.24","-6.73","-35.3","-7.69","4.53","55.52","102.55","1.71","-49.98","-22.46","-173.32","-14.37","-84.88","-123.91","-104.4","-35.12","129.98","-47.34","-125.32","-86.37"
"-2.24","-6.73","-35.3","-7.69","4.53","55.43","100.18","16.92","-50.15","-24.66","-173.32","-14.37","-84.79","-123.91","-104.4","-35.03","130.42","-47.52","-125.49","-86.55"
"-2.24","-6.73","-35.3","-7.69","4.44","55.52","96.31","32.92","-49.27","-23.69","-173.32","-14.37","-84.79","-123.91","-104.4","-35.12","129.98","-47.52","-125.49","-86.55"
"-2.24","-6.73","-35.3","-7.69","4.53","55.52","96.31","41.54","-49.19","-23.6","-173.32","-14.37","-84.62","-123.91","-104.31","-35.3","129.98","-47.34","-125.32","-86.37"
"-2.24","-6.73","-35.21","-7.69","4.53","55.43","83.03","47.08","-48.22","-23.6","-173.14","-14.37","-84.79","-123.91","-104.4","-34.86","130.42","-47.25","-125.32","-86.29"
"-2.24","-6.73","-35.21","-7.69","4.53","55.52","80.57","46.2","-48.66","-23.52","-173.32","-14.37","-84.62","-123.91","-104.31","-34.86","129.98","-47.08","-125.49","-86.29"
"-2.24","-6.73","-35.3","-7.69","4.53","55.43","87.69","47.78","-48.22","-20.09","-173.32","-14.37","-84.79","-123.91","-104.4","-35.03","130.77","-47.52","-125.49","-86.55"
"-2.24","-6.73","-35.3","-7.69","4.53","55.43","88.48","48.22","-49.19","-21.67","-180.0","-14.37","-84.62","-124.0","-104.31","-35.12","129.98","-47.08","-125.32","-86.2"
"-2.24","-6.73","-35.03","-7.69","4.53","55.52","67.91","43.03","-46.11","-33.63","-180.0","-14.37","-84.79","-123.91","-104.4","-35.03","129.98","-47.25","-125.32","-86.29"
