"head_z","head_y","l_shoulder_y","l_shoulder_z","l_arm_x","l_elbow_y","r_shoulder_y","r_shoulder_z","r_arm_x","r_elbow_y","r_wrist_z","r_wrist_x","r_indexfingers_x","r_thumb_x","r_virtualhand_x","l_wrist_z","l_wrist_x","l_indexfingers_x","l_thumb_x","l_virtualhand_x"
"-0.22","-11.74","0.4","-0.57","9.63","-40.75","6.46","-33.01","-16.92","4.97","109.76","-11.56","71.25","71.25","71.25","17.98","133.76","-180.0","-173.58","-176.84"
"-0.22","-4.53","0.4","-0.57","9.63","-40.75","6.46","-33.01","-16.92","4.97","109.58","-11.56","71.25","71.43","71.34","17.98","133.41","-180.0","-173.67","-176.84"
"-0.22","2.42","0.4","-0.57","9.63","-40.75","6.46","-33.01","-16.92","4.97","109.58","-11.56","70.81","71.25","70.99","17.98","133.41","-180.0","-173.32","-176.66"
"-0.22","8.13","0.4","-0.57","9.63","-40.75","6.46","-33.01","-16.92","4.97","109.58","-11.56","71.25","71.25","71.25","17.8","133.41","-180.0","-173.32","-176.66"
"-0.22","13.93","0.4","-0.57","9.63","-40.75","6.46","-33.01","-16.92","4.97","109.58","-11.56","70.81","71.25","70.99","17.98","133.76","-180.0","-173.32","-176.66"
"-0.31","19.47","0.4","-0.57","9.63","-40.75","6.46","-33.01","-16.92","4.97","109.58","-11.56","71.25","71.25","71.25","17.8","134.2","-180.0","-173.67","-176.84"
"-0.22","25.54","0.4","-0.57","9.63","-40.75","6.46","-33.01","-16.92","4.88","109.58","-11.56","70.9","71.25","71.08","17.8","133.76","-180.0","-173.41","-176.75"
"-0.22","28.79","0.4","-0.57","9.63","-40.75","6.46","-33.01","-16.92","4.97","109.58","-11.56","71.25","71.25","71.25","17.71","134.2","-180.0","-173.41","-176.75"
"-0.22","34.68","0.4","-0.57","9.63","-40.75","6.46","-33.01","-16.92","4.88","109.58","-11.56","71.25","71.25","71.25","17.8","133.41","-180.0","-173.41","-176.75"
"-0.31","39.25","0.4","-0.57","9.63","-40.75","6.46","-33.01","-16.92","4.97","109.76","-11.56","71.43","71.25","71.34","17.8","133.76","-180.0","-173.58","-176.84"
"-0.22","43.12","0.4","-0.57","9.63","-40.75","6.37","-33.01","-16.92","4.97","109.58","-11.56","71.43","71.25","71.34","17.98","133.76","-180.0","-173.41","-176.75"
"-0.48","45.85","0.4","-0.57","9.54","-40.75","6.46","-33.01","-16.92","4.97","109.76","-11.91","71.25","71.25","71.25","17.8","133.76","-180.0","-173.67","-176.92"
