"head_z","head_y","l_shoulder_y","l_shoulder_z","l_arm_x","l_elbow_y","r_shoulder_y","r_shoulder_z","r_arm_x","r_elbow_y","r_wrist_z","r_wrist_x","r_indexfingers_x","r_thumb_x","r_virtualhand_x","l_wrist_z","l_wrist_x","l_indexfingers_x","l_thumb_x","l_virtualhand_x"
"0.04","46.2","0.4","-0.57","9.63","-40.75","6.46","-33.01","-16.92","4.97","109.58","-11.56","70.9","71.25","71.08","17.98","134.2","-180.0","-173.41","-176.75"
"1.63","37.58","0.4","-0.57","9.63","-40.75","6.46","-33.01","-16.92","4.97","109.58","-11.56","70.9","71.52","71.16","17.98","134.2","-180.0","-173.41","-176.75"
"1.54","31.6","0.4","-0.57","9.63","-40.75","6.46","-33.01","-16.92","4.88","109.58","-11.91","71.25","71.43","71.34","17.8","133.76","-180.0","-173.32","-176.66"
"1.98","27.21","0.4","-0.57","9.54","-40.75","6.37","-33.01","-17.01","4.97","109.58","-11.56","71.16","71.08","71.08","17.98","134.2","-180.0","-173.32","-176.66"
"1.98","24.04","0.48","-0.57","9.54","-40.75","6.46","-33.01","-16.92","4.97","109.58","-11.56","71.08","71.25","71.16","17.71","134.2","-180.0","-173.58","-176.84"
"2.77","19.82","0.4","-0.57","9.63","-40.75","6.46","-33.01","-17.01","4.97","109.76","-11.56","71.25","71.52","71.34","17.8","133.41","-180.0","-173.32","-176.66"
"3.3","12.26","0.4","-0.57","9.63","-40.75","6.37","-33.01","-16.92","4.88","109.58","-11.56","71.25","71.25","71.25","17.8","133.76","-180.0","-173.67","-176.84"
"2.95","4.09","0.4","-0.57","9.63","-40.75","6.46","-33.01","-17.01","4.97","109.49","-11.91","71.16","71.08","71.08","17.8","134.2","-180.0","-173.58","-176.84"
"2.86","-0.13","0.4","-0.57","9.63","-40.75","6.46","-33.01","-16.92","4.97","109.58","-11.56","70.9","71.25","71.08","17.98","133.76","-180.0","-173.67","-176.92"
"2.68","-4.44","0.4","-0.57","9.63","-40.75","6.37","-33.01","-17.01","4.97","109.58","-11.56","71.25","71.43","71.34","17.98","133.76","-180.0","-173.67","-176.84"
