"head_z","head_y","l_shoulder_y","l_shoulder_z","l_arm_x","l_elbow_y","r_shoulder_y","r_shoulder_z","r_arm_x","r_elbow_y","r_wrist_z","r_wrist_x","r_indexfingers_x","r_thumb_x","r_virtualhand_x","l_wrist_z","l_wrist_x","l_indexfingers_x","l_thumb_x","l_virtualhand_x"
"-1.45","-11.03","-138.24","59.3","25.1","63.43","3.03","31.69","-6.11","-78.11","48.04","-12.79","-94.64","-134.37","-114.51","-54.02","150.11","-74.24","-107.3","-90.77"
"-1.45","-11.03","-133.49","59.12","19.38","63.08","3.03","31.69","-6.11","-78.11","47.87","-12.79","-94.64","-134.37","-114.51","-57.27","149.76","-74.51","-106.95","-90.77"
"-1.45","-11.03","-131.03","58.07","8.31","61.58","3.03","31.69","-6.11","-78.11","47.87","-12.79","-94.81","-134.55","-114.68","-76.88","150.11","-74.51","-106.95","-90.77"
"-1.45","-11.03","-129.71","54.11","-6.02","57.98","3.03","31.69","-6.11","-78.2","47.87","-12.35","-94.64","-134.37","-114.51","-122.42","150.11","-74.51","-107.3","-90.95"
"-1.45","-11.03","-119.08","52.0","-27.47","57.98","3.03","31.69","-6.11","-78.11","47.87","-12.79","-94.64","-134.55","-114.59","-176.92","149.76","-74.59","-107.3","-90.95"
"-1.45","-11.12","-105.19","29.76","-27.47","57.98","3.03","31.69","-6.11","-78.11","47.87","-12.79","-94.81","-134.37","-114.59","-180.0","149.76","-74.33","-107.3","-90.86"
"-1.45","-11.03","-112.66","22.02","-26.95","26.15","3.03","31.69","-6.11","-78.11","47.87","-12.35","-94.81","-134.55","-114.59","-180.0","150.11","-74.59","-107.21","-90.95"
"-1.45","-11.03","-127.25","22.37","-26.77","7.87","3.03","31.69","-6.11","-78.11","47.87","-12.79","-94.81","-134.55","-114.68","-180.0","150.11","-74.51","-107.21","-90.86"
"-1.45","-11.12","-132.18","23.34","-26.33","1.19","3.03","31.69","-6.11","-78.11","48.04","-12.79","-94.64","-134.55","-114.59","-180.0","150.11","-74.51","-107.21","-90.86"
"-1.45","-11.03","-141.41","26.68","-26.33","-15.16","2.95","31.69","-6.02","-78.11","47.87","-12.35","-94.64","-134.55","-114.59","-180.0","149.76","-74.59","-107.47","-91.03"
"-1.45","-11.03","-140.62","27.38","-26.33","-26.86","2.95","31.6","-6.11","-78.11","48.04","-12.35","-94.64","-134.37","-114.51","-180.0","149.32","-74.59","-107.56","-91.12"
"-1.45","-11.03","-139.65","28.7","-26.33","-30.81","2.95","31.6","-6.11","-78.11","47.87","-12.35","-94.64","-134.37","-114.51","-180.0","149.76","-74.33","-107.21","-90.77"
"-1.45","-11.03","-136.92","29.32","-26.33","-24.13","2.95","31.6","-6.11","-78.11","47.87","-12.79","-94.81","-134.37","-114.59","-180.0","149.76","-74.51","-107.47","-91.03"
"-1.45","-11.03","-122.68","30.2","-26.33","4.53","2.95","31.6","-6.11","-78.11","47.87","-12.35","-94.81","-134.37","-114.59","-180.0","149.76","-74.24","-107.3","-90.86"
"-1.45","-11.03","-107.91","30.37","-26.33","19.03","2.95","31.6","-6.11","-78.11","47.87","-12.79","-94.81","-134.29","-114.59","-180.0","149.76","-74.59","-107.12","-90.86"
"-1.45","-11.03","-98.95","30.37","-26.24","28.0","2.95","31.69","-6.11","-78.11","47.87","-12.79","-94.81","-134.55","-114.68","-180.0","150.11","-74.33","-107.21","-90.77"
"-1.45","-11.03","-91.47","30.02","-26.33","33.89","2.95","31.6","-6.11","-78.11","47.87","-12.79","-94.81","-134.37","-114.59","-180.0","149.76","-74.77","-107.3","-91.03"
"-1.45","-11.03","-81.8","30.29","-26.33","38.81","2.95","31.6","-6.11","-78.11","47.87","-12.79","-94.64","-134.37","-114.51","-180.0","150.11","-74.77","-107.3","-91.03"
"-1.45","-11.03","-77.32","30.02","-26.33","44.35","2.95","31.69","-6.11","-78.11","47.87","-12.35","-94.64","-134.37","-114.51","-180.0","150.11","-74.51","-107.3","-90.95"
