"head_z","head_y","l_shoulder_y","l_shoulder_z","l_arm_x","l_elbow_y","r_shoulder_y","r_shoulder_z","r_arm_x","r_elbow_y","r_wrist_z","r_wrist_x","r_indexfingers_x","r_thumb_x","r_virtualhand_x","l_wrist_z","l_wrist_x","l_indexfingers_x","l_thumb_x","l_virtualhand_x"
"-2.24","-8.04","2.33","5.05","10.59","-37.76","6.29","15.78","-42.77","-87.6","-180.0","-11.12","-123.38","-171.12","-147.3","16.04","137.98","-180.0","-169.71","-174.9"
"-2.24","-8.04","2.33","5.05","10.59","-37.76","4.97","15.25","-37.58","-81.63","-180.0","-10.77","-123.03","-171.12","-147.12","16.04","137.98","-180.0","-169.54","-174.81"
"-2.24","-8.04","2.33","5.05","10.59","-37.76","4.7","14.73","-36.26","-74.51","-180.0","-10.77","-123.12","-171.12","-147.12","15.96","137.19","-180.0","-169.27","-174.64"
"-2.24","-8.04","2.33","5.05","10.51","-37.76","5.49","12.26","-42.24","-67.82","-180.0","-10.77","-123.12","-171.12","-147.12","15.96","137.98","-180.0","-169.54","-174.81"
"-2.24","-8.04","2.33","5.05","10.59","-37.76","5.58","14.9","-41.1","-69.41","-180.0","-10.77","-123.12","-170.95","-147.03","16.04","137.63","-180.0","-169.45","-174.73"
"-2.24","-8.04","2.33","5.05","10.59","-37.76","4.88","24.66","-40.13","-74.77","-180.0","-10.77","-123.03","-171.12","-147.12","16.04","137.98","-180.0","-169.71","-174.9"
"-2.24","-8.04","2.33","5.05","10.59","-37.76","4.88","24.66","-40.13","-74.77","-180.0","-10.77","-123.12","-171.12","-147.12","16.13","137.63","-180.0","-169.54","-174.81"
"-2.24","-8.04","2.33","5.05","10.59","-37.85","4.88","24.66","-39.6","-74.86","-180.0","-10.77","-123.12","-170.95","-147.03","15.96","137.63","-180.0","-169.71","-174.9"
"-2.24","-8.04","2.33","5.05","10.59","-37.76","4.53","30.64","-39.69","-79.52","-128.48","-11.91","-123.12","-171.12","-147.12","16.04","137.63","-180.0","-169.71","-174.9"
"-2.24","-8.04","2.33","5.05","10.59","-37.76","5.14","34.86","-39.6","-81.27","-110.11","-12.35","-123.03","-171.12","-147.12","16.04","137.98","-180.0","-169.8","-174.9"
